n_sim,l,s,cr_mean,glv_mean,div
0.0,0.65,15.0,27.996402655138695,0.09574178171627623,0.0
0.0,0.65,20.0,14.802905144912938,0.05142914762182611,0.0
0.0,0.65,25.0,12.591982294486504,0.06044807720659793,0.0
0.0,0.65,30.0,9.04508128446348,0.06213732568074758,0.0
0.0,0.65,35.0,11.136518534025953,0.0993824576492721,0.0
0.0,0.65,40.0,6.752454020525167,0.0451918805208279,0.0
0.0,0.65,45.0,7.8148818512958185,0.06019867521387679,0.0
0.0,0.65,50.0,6.575758178651541,0.047979682083645094,0.0
0.0,0.65,55.0,5.811360627822393,0.06305264735528701,0.0
0.0,0.6900000000000001,10.0,38.14483312858552,0.21407249665622113,0.0
0.0,0.6900000000000001,15.0,32.00618616679375,0.08044886368266171,0.0
0.0,0.6900000000000001,20.0,19.090156367372565,0.10974734664026706,0.0
0.0,0.6900000000000001,25.0,13.15543691036357,0.05559498714115465,0.0
0.0,0.6900000000000001,30.0,9.436118401892635,0.07177061259760752,0.0
0.0,0.6900000000000001,35.0,7.966845034411445,0.0517279688246071,0.0
0.0,0.6900000000000001,40.0,0.0,0.0,1.0
0.0,0.6900000000000001,45.0,7.33721679455711,0.03466611463148309,0.0
0.0,0.6900000000000001,50.0,7.766878245212869,0.04232693290293296,0.0
0.0,0.6900000000000001,55.0,5.766304671949462,0.04511372226900083,0.0
0.0,0.73,10.0,37.21086899327821,0.1344189724435683,0.0
0.0,0.73,15.0,24.325661131049646,0.10906095383542165,0.0
0.0,0.73,20.0,19.13278822436106,0.14158202045853657,0.0
0.0,0.73,25.0,11.661046620116904,0.04704631447646561,0.0
0.0,0.73,30.0,12.132961717144173,0.06595769953250392,0.0
0.0,0.73,35.0,15.222401184678676,0.0681097543899143,0.0
0.0,0.73,40.0,9.317870066383868,0.04196478088682164,0.0
0.0,0.73,45.0,7.6234471848480325,0.06127197468575995,0.0
0.0,0.73,50.0,0.0,0.0,1.0
0.0,0.73,55.0,5.5217912738996855,0.04514212013100206,0.0
0.0,0.77,10.0,32.09459574741891,0.06364298161822199,0.0
0.0,0.77,15.0,20.767155086112574,0.05268822956998181,0.0
0.0,0.77,20.0,18.675518340414186,0.08644988498374823,0.0
0.0,0.77,25.0,11.701903515483155,0.06437939797031365,0.0
0.0,0.77,30.0,14.170118374413075,0.053899401066224255,0.0
0.0,0.77,35.0,9.555956823789652,0.06849824047600114,0.0
0.0,0.77,40.0,9.008536719838641,0.04737948464772155,0.0
0.0,0.77,45.0,7.168845431971263,0.07616669456751415,0.0
0.0,0.77,50.0,6.173132052095692,0.04802362481480912,0.0
0.0,0.77,55.0,7.688357884267862,0.05436842912574199,0.0
0.0,0.81,10.0,31.22783279304421,0.06829499366243773,0.0
0.0,0.81,15.0,21.99573659556778,0.09648367034636171,0.0
0.0,0.81,20.0,17.853974198539614,0.0722768212098295,0.0
0.0,0.81,25.0,11.02578941849689,0.054305500565069,0.0
0.0,0.81,30.0,9.380596236714664,0.06823768585593111,0.0
0.0,0.81,35.0,9.131125991836061,0.04633247391639063,0.0
0.0,0.81,40.0,8.363148244304245,0.05298164423675853,0.0
0.0,0.81,45.0,6.401401033355772,0.05988786731241597,0.0
0.0,0.81,50.0,6.419829279344631,0.02801445598404929,0.0
0.0,0.81,55.0,5.458746867533495,0.035443002602176504,0.0
0.0,0.85,10.0,34.44750271161122,0.0420883603110546,0.0
0.0,0.85,15.0,21.800044574791965,0.055678107034344386,0.0
